time,p_0m,p_4p2m,p_5p6m,T_0m,T_4p2m,T_5p6m,disp_1p4m,disp_4p2m,disp_7m,sxx_0m,sxx_4p2m,sxx_5p6m,syy_0m
5.21000000e+02,3.32393148e-01,1.92634789e-01,9.93783757e-02,2.73208995e+02,2.84376777e+02,3.00669909e+02,7.29238852e-05,2.24968817e-04,3.65508627e-04,-7.78079860e-01,-7.64541014e-01,-7.80811355e-01,-1.00000000e+00
5.41000000e+02,3.15727134e-01,1.82976902e-01,9.43950195e-02,2.73254406e+02,2.84816633e+02,3.01042188e+02,7.46475468e-05,2.29066655e-04,3.70077256e-04,-7.72660475e-01,-7.62517714e-01,-7.80199539e-01,-1.00000000e+00
5.61000000e+02,2.99899657e-01,1.73805336e-01,8.96628112e-02,2.73305150e+02,2.85243741e+02,3.01396553e+02,7.62759404e-05,2.32924287e-04,3.74377113e-04,-7.67536616e-01,-7.60626454e-01,-7.79622295e-01,-1.00000000e+00
5.81000000e+02,2.84868614e-01,1.65095490e-01,8.51689933e-02,2.73361310e+02,2.85658538e+02,3.01734388e+02,7.78136066e-05,2.36554234e-04,3.78421684e-04,-7.62694499e-01,-7.58859762e-01,-7.79079239e-01,-1.00000000e+00
6.01000000e+02,2.70593978e-01,1.56824046e-01,8.09014892e-02,2.73422934e+02,2.86061464e+02,3.02056933e+02,7.92648886e-05,2.39968355e-04,3.82223811e-04,-7.58120921e-01,-7.57210660e-01,-7.78569804e-01,-1.00000000e+00
6.21000000e+02,2.57037708e-01,1.48968888e-01,7.68488552e-02,2.73490036e+02,2.86452957e+02,3.02365303e+02,8.06339377e-05,2.43177882e-04,3.85795723e-04,-7.53803245e-01,-7.55672609e-01,-7.78093279e-01,-1.00000000e+00
6.41000000e+02,2.44163661e-01,1.41509028e-01,7.30002396e-02,2.73562599e+02,2.86833452e+02,3.02660503e+02,8.19247206e-05,2.46193451e-04,3.89149057e-04,-7.49729376e-01,-7.54239472e-01,-7.77648842e-01,-1.00000000e+00
6.61000000e+02,2.31937503e-01,1.34424550e-01,6.93453479e-02,2.73640584e+02,2.87203374e+02,3.02943442e+02,8.31410258e-05,2.49025142e-04,3.92294892e-04,-7.45887743e-01,-7.52905480e-01,-7.77235580e-01,-1.00000000e+00
6.81000000e+02,2.20326621e-01,1.27696544e-01,6.58744104e-02,2.73723923e+02,2.87563139e+02,3.03214944e+02,8.42864706e-05,2.51682505e-04,3.95243766e-04,-7.42267281e-01,-7.51665200e-01,-7.76852517e-01,-1.00000000e+00
7.01000000e+02,2.09300041e-01,1.21307058e-01,6.25781544e-02,2.73812534e+02,2.87913148e+02,3.03475759e+02,8.53645075e-05,2.54174592e-04,3.98005703e-04,-7.38857409e-01,-7.50513510e-01,-7.76498631e-01,-1.00000000e+00
7.21000000e+02,1.98828346e-01,1.15239046e-01,5.94477770e-02,2.73906312e+02,2.88253792e+02,3.03726571e+02,8.63784308e-05,2.56509980e-04,4.00590240e-04,-7.35648013e-01,-7.49445578e-01,-7.76172870e-01,-1.00000000e+00
7.41000000e+02,1.88883597e-01,1.09476323e-01,5.64749206e-02,2.74005142e+02,2.88585447e+02,3.03968004e+02,8.73313834e-05,2.58696802e-04,4.03006443e-04,-7.32629429e-01,-7.48456843e-01,-7.75874163e-01,-1.00000000e+00
7.61000000e+02,1.79439264e-01,1.04003518e-01,5.36516500e-02,2.74108894e+02,2.88908474e+02,3.04200630e+02,8.82263623e-05,2.60742770e-04,4.05262934e-04,-7.29792427e-01,-7.47542994e-01,-7.75601432e-01,-1.00000000e+00
7.81000000e+02,1.70470149e-01,9.88060363e-02,5.09704307e-02,2.74217429e+02,2.89223223e+02,3.04424974e+02,8.90662254e-05,2.62655193e-04,4.07367909e-04,-7.27128189e-01,-7.46699959e-01,-7.75353602e-01,-1.00000000e+00
8.01000000e+02,1.61952325e-01,9.38700167e-02,4.84241082e-02,2.74330601e+02,2.89530027e+02,3.04641521e+02,8.98536967e-05,2.64441004e-04,4.09329158e-04,-7.24628300e-01,-7.45923883e-01,-7.75129605e-01,-1.00000000e+00
8.21000000e+02,1.53863069e-01,8.91822973e-02,4.60058889e-02,2.74448256e+02,2.89829208e+02,3.04850716e+02,9.05913726e-05,2.66106780e-04,4.11154085e-04,-7.22284725e-01,-7.45211124e-01,-7.74928390e-01,-1.00000000e+00
8.41000000e+02,1.46180802e-01,8.47303786e-02,4.37093218e-02,2.74570237e+02,2.90121072e+02,3.05052971e+02,9.12817269e-05,2.67658756e-04,4.12849727e-04,-7.20089798e-01,-7.44558233e-01,-7.74748924e-01,-1.00000000e+00
8.61000000e+02,1.38885031e-01,8.05023906e-02,4.15282809e-02,2.74696383e+02,2.90405913e+02,3.05248667e+02,9.19271165e-05,2.69102848e-04,4.14422771e-04,-7.18036208e-01,-7.43961947e-01,-7.74590196e-01,-1.00000000e+00
8.81000000e+02,1.31956297e-01,7.64870606e-02,3.94569490e-02,2.74826533e+02,2.90684015e+02,3.05438157e+02,9.25297863e-05,2.70444668e-04,4.15879570e-04,-7.16116978e-01,-7.43419176e-01,-7.74451224e-01,-1.00000000e+00
9.01000000e+02,1.25376119e-01,7.26736838e-02,3.74898020e-02,2.74960522e+02,2.90955645e+02,3.05621770e+02,9.30918741e-05,2.71689540e-04,4.17226159e-04,-7.14325460e-01,-7.42926996e-01,-7.74331051e-01,-1.00000000e+00
9.21000000e+02,1.19126947e-01,6.90520941e-02,3.56215941e-02,2.75098188e+02,2.91221063e+02,3.05799813e+02,9.36154158e-05,2.72842513e-04,4.18468274e-04,-7.12655314e-01,-7.42482637e-01,-7.74228752e-01,-1.00000000e+00
9.41000000e+02,1.13192116e-01,6.56126375e-02,3.38473440e-02,2.75239368e+02,2.91480515e+02,3.05972568e+02,9.41023495e-05,2.73908382e-04,4.19611360e-04,-7.11100497e-01,-7.42083477e-01,-7.74143430e-01,-1.00000000e+00
9.61000000e+02,1.07555799e-01,6.23461456e-02,3.21623209e-02,2.75383902e+02,2.91734237e+02,3.06140304e+02,9.45545201e-05,2.74891693e-04,4.20660592e-04,-7.09655253e-01,-7.41727032e-01,-7.74074224e-01,-1.00000000e+00
9.81000000e+02,1.02202966e-01,5.92439119e-02,3.05620328e-02,2.75531632e+02,2.91982454e+02,3.06303267e+02,9.49736837e-05,2.75796761e-04,4.21620883e-04,-7.08314095e-01,-7.41410950e-01,-7.74020300e-01,-1.00000000e+00
1.00100000e+03,9.71193437e-02,5.62976681e-02,2.90422136e-02,2.75682402e+02,2.92225383e+02,3.06461691e+02,9.53615114e-05,2.76627682e-04,4.22496902e-04,-7.07071800e-01,-7.41133003e-01,-7.73980860e-01,-1.00000000e+00
1.20100000e+03,6.17118722e-02,3.57756987e-02,1.84559248e-02,2.77357431e+02,2.94327959e+02,3.07778070e+02,9.74542596e-05,2.80750449e-04,4.26509311e-04,-7.00294045e-01,-7.40465143e-01,-7.74390638e-01,-1.00000000e+00
1.40100000e+03,3.93521047e-02,2.28149956e-02,1.17700312e-02,2.79155190e+02,2.96123987e+02,3.08854214e+02,9.80581618e-05,2.81420073e-04,4.26622771e-04,-6.98233959e-01,-7.41489484e-01,-7.75435915e-01,-1.00000000e+00
