vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
5287,1,2.52661e-13,2.52661e-13,2.52661e-13,0.209234,185315
5288,1,2.77034e-13,2.77034e-13,2.77034e-13,0.213853,185272
5289,1,3.06135e-13,3.06135e-13,3.06135e-13,0.218046,185311
5290,1,3.33275e-13,3.33275e-13,3.33275e-13,0.221927,185403
5291,1,3.33275e-13,3.33275e-13,3.33275e-13,0.221927,185414
5292,1,9.5341e-14,9.5341e-14,9.5341e-14,0.178432,181256
5293,1,9.58479e-14,9.58479e-14,9.58479e-14,0.17859,181338
5294,1,9.83402e-14,9.83402e-14,9.83402e-14,0.179356,181385
5295,1,1.67097e-13,1.67097e-13,1.67097e-13,0.192748,181446
5296,1,2.5628e-13,2.5628e-13,2.5628e-13,0.209838,181564
5297,1,2.81633e-13,2.81633e-13,2.81633e-13,0.214612,181565
5298,1,3.03312e-13,3.03312e-13,3.03312e-13,0.217702,181627
5299,1,3.29276e-13,3.29276e-13,3.29276e-13,0.221353,181685
5300,1,3.36502e-13,3.36502e-13,3.36502e-13,0.222383,181812
5301,1,9.5341e-14,9.5341e-14,9.5341e-14,0.178432,177761
5302,1,9.73264e-14,9.73264e-14,9.73264e-14,0.179041,177841
5303,1,1.00283e-13,1.00283e-13,1.00283e-13,0.179944,177927
5304,1,1.89973e-13,1.89973e-13,1.89973e-13,0.197191,177960
5305,1,2.78692e-13,2.78692e-13,2.78692e-13,0.214144,178015
5306,1,2.80653e-13,2.80653e-13,2.80653e-13,0.214456,178106
5307,1,3.02332e-13,3.02332e-13,3.02332e-13,0.217546,178142
5308,1,3.29276e-13,3.29276e-13,3.29276e-13,0.221353,178212
5309,1,3.36502e-13,3.36502e-13,3.36502e-13,0.222383,178333
5310,1,9.82979e-14,9.82979e-14,9.82979e-14,0.179335,176563
5311,1,9.97763e-14,9.97763e-14,9.97763e-14,0.179786,176610
5312,1,1.01719e-13,1.01719e-13,1.01719e-13,0.180374,176644
5313,1,1.69471e-13,1.69471e-13,1.69471e-13,0.193313,176638
5314,1,2.60915e-13,2.60915e-13,2.60915e-13,0.210621,176605
5315,1,2.86052e-13,2.86052e-13,2.86052e-13,0.215283,176705
5316,1,3.00505e-13,3.00505e-13,3.00505e-13,0.217343,176621
5317,1,3.27754e-13,3.27754e-13,3.27754e-13,0.221156,176632
5318,1,3.41531e-13,3.41531e-13,3.41531e-13,0.223066,176679
5319,1,1.01255e-13,1.01255e-13,1.01255e-13,0.180237,176107
5320,1,1.01255e-13,1.01255e-13,1.01255e-13,0.180237,176230
5321,1,1.02184e-13,1.02184e-13,1.02184e-13,0.18051,176224
5322,1,1.48969e-13,1.48969e-13,1.48969e-13,0.189436,176322
5323,1,2.43138e-13,2.43138e-13,2.43138e-13,0.207099,176237
5324,1,2.91451e-13,2.91451e-13,2.91451e-13,0.21611,176386
5325,1,2.91451e-13,2.91451e-13,2.91451e-13,0.21611,176316
5326,1,3.19005e-13,3.19005e-13,3.19005e-13,0.219929,176405
5327,1,3.4656e-13,3.4656e-13,3.4656e-13,0.223748,176442
5328,1,1.01255e-13,1.01255e-13,1.01255e-13,0.180237,175493
5329,1,1.01719e-13,1.01719e-13,1.01719e-13,0.180374,175531
5330,1,1.02648e-13,1.02648e-13,1.02648e-13,0.180647,175510
5331,1,1.48969e-13,1.48969e-13,1.48969e-13,0.189436,175535
5332,1,2.43138e-13,2.43138e-13,2.43138e-13,0.207099,175422
5333,1,2.91451e-13,2.91451e-13,2.91451e-13,0.21611,175452
5334,1,2.98412e-13,2.98412e-13,2.98412e-13,0.217084,175461
5335,1,3.25967e-13,3.25967e-13,3.25967e-13,0.220903,175420
5336,1,3.4656e-13,3.4656e-13,3.4656e-13,0.223748,175364
5337,1,1.02717e-13,1.02717e-13,1.02717e-13,0.180729,174905
5338,1,1.03182e-13,1.03182e-13,1.03182e-13,0.180866,174928
5339,1,1.03646e-13,1.03646e-13,1.03646e-13,0.181002,175031
5340,1,1.2753e-13,1.2753e-13,1.2753e-13,0.185616,175047
5341,1,2.22661e-13,2.22661e-13,2.22661e-13,0.203349,175041
5342,1,2.94321e-13,2.94321e-13,2.94321e-13,0.216563,175097
5343,1,3.01694e-13,3.01694e-13,3.01694e-13,0.217632,175136
