vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
27636,2,1.2828e-13,1.2828e-13,1.2828e-13,0.234934,176741
27637,2,1.29738e-13,1.29738e-13,1.29738e-13,0.235178,176494
27638,2,1.38961e-13,1.38961e-13,1.38961e-13,0.236361,175976
27639,2,1.48448e-13,1.48448e-13,1.48448e-13,0.237609,175478
27640,2,1.48974e-13,1.48974e-13,1.48974e-13,0.237739,175213
27641,2,1.49502e-13,1.49502e-13,1.49502e-13,0.237869,175058
27642,2,1.49765e-13,1.49765e-13,1.49765e-13,0.237934,175370
27643,2,1.47745e-13,1.47745e-13,1.47745e-13,0.239192,175777
27644,2,1.45725e-13,1.45725e-13,1.45725e-13,0.24045,176088
27645,2,1.45958e-13,1.45958e-13,1.45958e-13,0.240354,176465
27646,2,1.46425e-13,1.46425e-13,1.46425e-13,0.240164,173915
27647,2,1.46658e-13,1.46658e-13,1.46658e-13,0.240069,167948
27648,2,1.5178e-13,1.5178e-13,1.5178e-13,0.241994,161567
27649,2,1.56903e-13,1.56903e-13,1.56903e-13,0.243919,155081
27650,2,1.56002e-13,1.56002e-13,1.56002e-13,0.243382,151146
27651,2,3.0551e-13,3.0551e-13,3.0551e-13,0.218252,106305
27652,2,3.0551e-13,3.0551e-13,3.0551e-13,0.218252,120423
27653,2,2.60376e-13,2.60376e-13,2.60376e-13,0.217572,134408
27654,2,2.20343e-13,2.20343e-13,2.20343e-13,0.217775,148549
27655,2,2.30543e-13,2.30543e-13,2.30543e-13,0.219541,160513
27656,2,2.35644e-13,2.35644e-13,2.35644e-13,0.220424,164159
27657,2,2.35644e-13,2.35644e-13,2.35644e-13,0.220424,159676
27658,2,1.63768e-13,1.63768e-13,1.63768e-13,0.222176,155398
27659,2,9.18912e-14,9.18912e-14,9.18912e-14,0.223929,151055
27660,2,9.18912e-14,9.18912e-14,9.18912e-14,0.223929,148056
27661,2,9.18912e-14,9.18912e-14,9.18912e-14,0.223929,148536
27662,2,9.18912e-14,9.18912e-14,9.18912e-14,0.223929,152720
27663,2,8.0528e-14,8.0528e-14,8.0528e-14,0.220294,156360
27664,2,6.91648e-14,6.91648e-14,6.91648e-14,0.216659,160124
